reference,mineral,,T,p1,p2,p3,s1,s2,s3
PH12,calcite,MBG-CC1-1,385,-14.96121445,0.763379494,,1.32E-01,0.022901385,
PH12,calcite,MBG-CC1-2,405,-13.48620681,0.726149037,,1.08E-01,0.029045961,
PH12,calcite,MBG-CC1-3,425,-13.11737584,0.554327285,,7.46E-02,0.011086546,
PH12,calcite,MBG-CC1-4,450,-11.74233863,0.414782912,,2.16E-01,0.049773949,
PH12,calcite,MBG-CC1-5,475,-10.42100216,0.453844795,,1.24E-01,0.036307584,
PH12,calcite,WA-CB-13-1,385,-14.3688958,0.711770323,,0.00E+00,0,
PH12,calcite,WA-CB-13-2,405,-13.11241305,0.690734331,,1.58E-01,0.027629373,
PH12,calcite,WA-CB-13-3,425,-12.50178689,0.559898367,,2.96E-02,0.011197967,
PH12,calcite,WA-CB-13-4,450,-11.41761529,0.501576069,,0.00E+00,0,
PH12,calcite,WA-CB-13-5,475,-10.38152335,0.444858066,,1.13E-02,0.026691484,
PH12,calcite,MBG-CC1-P1,385,-13.94107378,0.786627861,,2.83E-01,0.031465114,
PH12,calcite,MBG-CC1-P2,405,-12.69709564,0.718923733,,1.18E-01,0.043135424,
PH12,calcite,MBG-CC1-P3,425,-12.0542103,0.66365025,,6.01E-02,0.02654601,
PH12,calcite,MBG-CC1-P4,450,-10.58076138,0.532591801,,3.94E-02,0.010651836,
Hea14,calcite,WA-CB-13-1,385,-14.41699055,-11.39959678,-10.319003,0.00E+00,0,0
Hea14,calcite,WA-CB-13-2,405,-13.29671676,-10.65851014,-9.845218644,0.00E+00,0,0
Hea14,calcite,WA-CB-13-3,425,-12.35922383,-9.578509695,-9.07931211,0.00E+00,0,0
Hea14,calcite,WA-CB-13-4,450,-11.28978191,-8.507242861,-8.213391737,0.00E+00,0,0
Hea14,calcite,WA-CB-13-5,475,-10.2601625,-7.525794987,-7.39551563,0.00E+00,0,0
Hea14,calcite,MBG-CC1-1,385,-14.96121445,-11.33897216,-10.02452588,0.00E+00,0,0
Hea14,calcite,MBG-CC1-2,405,-13.48620681,-10.6046669,-9.474305918,0.00E+00,0,0
Hea14,calcite,MBG-CC1-3,425,-13.11737584,-10.08981713,-9.557064985,0.00E+00,0,0
Hea14,calcite,MBG-CC1-4,450,-11.74233863,-9.07931211,-8.955698154,0.00E+00,0,0
SE15,calcite,optical_cal,430,-9.288301913,-11.89418588,0.0992,1.20E-01,3.25E-02,0
SE15,calcite,optical_cal,536,-5.615771597,-5.899797359,0.0992,7.64E-02,2.68E-01,0
SE15,calcite,optical_cal,692,-1.30933332,-2.055725015,0.0992,3.70E-02,6.25E-02,0
SE15,apatite,apatite_Siilinjarvi,536,-7.763421389,-8.360189443,0.0992,5.29E-01,1.84E-01,0
SE15,apatite,apatite_Siilinjarvi,692,-3.059737604,-3.186892779,0.0992,5.54E-02,5.33E-02,0
SE15,calcite,MBG-CC1-2,405,-9.412456556,-12.04736095,0.0992,2.14E-01,4.52E-01,0
SE15,calcite,MBG-CC1-3,425,-8.121778419,-10.76150938,0.0992,1.22E-01,1.26E-01,0
SE15,calcite,MBG-CC1-4,450,-7.612975041,-8.507242861,0.0992,2.55E-01,2.41E-01,0
SE15,calcite,MBG-CC1-5,475,-7.447323372,-8.091925456,0.0992,3.81E-02,5.92E-02,0
SE15,calcite,WA-CB-13-2,405,-9.578509695,-11.68608908,0.0992,2.18E-01,4.41E-01,0
SE15,calcite,WA-CB-13-3,425,-8.16653632,-10.28328491,0.0992,1.73E-01,1.41E-01,0
SE15,calcite,WA-CB-13-4,450,-7.12218689,-9.036387065,0.0992,3.74E-01,2.13E-01,0
SE15,calcite,WA-CB-13-5,475,-6.70074111,-7.455936689,0.0992,1.61E-01,1.49E-01,0
Bea18,calcite,MBG-CC1-P2,405,-8.004369565,-10.90315989,0.0992,1.15E-01,4.95E-02,0
Bea18,calcite,MBG-CC1-P3,425,-7.314220887,-10.05897246,0.0992,3.75E-03,3.13E-02,0
Bea18,calcite,MBG-CC1-P4,450,-7.003165464,-8.330713624,0.0992,1.21E-01,4.98E-03,0
