reference,mineral,,T,p1,p2,p3,s1,s2,s3
PH12,calcite,MGB-CC-1,385,-14.9612,0.7634,,0.132,0.0229,
PH12,calcite,MGB-CC-1,405,-13.4862,0.7261,,0.108,0.029,
PH12,calcite,MGB-CC-1,425,-13.1174,0.5543,,0.0746,0.0111,
PH12,calcite,MGB-CC-1,450,-11.7423,0.4148,,0.216,0.0498,
PH12,calcite,MGB-CC-1,475,-10.421,0.4538,,0.124,0.0363,
PH12,calcite,NE-CC-1_labile,425,-13.5007,0.4677,,0.1387,0.0187,
PH12,calcite,NE-CC-1_labile,475,-11.0243,0.4771,,0.1166,0.0191,
PH12,calcite,NE-CC-1_labile,525,-8.9713,0.3198,,0.1024,0.0192,
PH12,calcite,NE-CC-1_refractory,475,-14.6185,0.3465,,0.0893,0.0173,
PH12,calcite,NE-CC-1_refractory,525,-12.518,0.2299,,0.0683,0.0069,
PH12,calcite,NE-CC-1_refractory,560,-11.2583,0.2019,,0.0388,0.004,
Hea14,calcite,WA-CB-13,385,-14.417,-11.3996,-10.319,0,0,0
Hea14,calcite,WA-CB-13,405,-13.2967,-10.6585,-9.8452,0,0,0
Hea14,calcite,WA-CB-13,425,-12.3592,-9.5785,-9.0793,0,0,0
Hea14,calcite,WA-CB-13,450,-11.2898,-8.5072,-8.2134,0,0,0
Hea14,calcite,WA-CB-13,475,-10.2602,-7.5258,-7.3955,0,0,0
Hea14,calcite,MGB-CC-1,385,-14.9612,-11.339,-10.0245,0,0,0
Hea14,calcite,MGB-CC-1,405,-13.4862,-10.6047,-9.4743,0,0,0
Hea14,calcite,MGB-CC-1,425,-13.1174,-10.0898,-9.5571,0,0,0
Hea14,calcite,MGB-CC-1,450,-11.7423,-9.0793,-8.9557,0,0,0
SE15,calcite,MOC,430,-9.2883,-11.8942,0.0992,0.12,0.0325,0
SE15,calcite,MOC,536,-5.6158,-5.8998,0.0992,0.0764,0.268,0
SE15,calcite,MOC,692,-1.3093,-2.0557,0.0992,0.037,0.0625,0
SE15,apatite,Siilinjarvi,536,-7.7634,-8.3602,0.0992,0.529,0.184,0
SE15,apatite,Siilinjarvi,692,-3.0597,-3.1869,0.0992,0.0554,0.0533,0
SE15,calcite,MGB-CC-1,405,-9.4125,-12.0474,0.0992,0.214,0.452,0
SE15,calcite,MGB-CC-1,425,-8.1218,-10.7615,0.0992,0.122,0.126,0
SE15,calcite,MGB-CC-1,450,-7.613,-8.5072,0.0992,0.255,0.241,0
SE15,calcite,MGB-CC-1,475,-7.4473,-8.0919,0.0992,0.0381,0.0592,0
SE15,calcite,WA-CB-13,405,-9.5785,-11.6861,0.0992,0.218,0.441,0
SE15,calcite,WA-CB-13,425,-8.1665,-10.2833,0.0992,0.173,0.141,0
SE15,calcite,WA-CB-13,450,-7.1222,-9.0364,0.0992,0.374,0.213,0
SE15,calcite,WA-CB-13,475,-6.7007,-7.4559,0.0992,0.161,0.149,0
Bea18,calcite,MGB-CC-1 (hydrothermal),405,-8.0044,-10.9032,0.0992,0.115,0.0495,0
Bea18,calcite,MGB-CC-1 (hydrothermal),425,-7.3142,-10.059,0.0992,0.0038,0.0313,0
Bea18,calcite,MGB-CC-1 (hydrothermal),450,-7.0032,-8.3307,0.0992,0.121,0.005,0
HH21,calcite,MGB-CC-1,385,-15.8175,5.5393,,0.8564,0.9781,
HH21,calcite,MGB-CC-1,405,-12.9304,3.5039,,0.2271,0.4063,
HH21,calcite,MGB-CC-1,425,-11.3884,3.9508,,0.1055,0.25,
HH21,calcite,MGB-CC-1,450,-9.5554,2.7172,,0.1507,0.3359,
HH21,calcite,MGB-CC-1,475,-8.6859,2.2213,,0.3511,0.6101,
HH21,calcite,NE-CC-1,425,-13.5516,4.0823,,0.2264,0.3637,
HH21,calcite,NE-CC-1,475,-11.2767,3.793,,0.118,0.1945,
HH21,calcite,NE-CC-1,525,-8.2997,3.5824,,0.2929,0.4835,
HH21,calcite,NE-CC-1,560,-6.4001,4.049,,0.2148,0.306,
HH21,calcite,NE-CC-1,600,-4.8117,3.1687,,0.5957,0.4588,
HH21,calcite,NE-CC-1,650,-3.8197,2.8519,,2.7311,1.8995,
HH21,calcite,NE-CC-1 (hydrothermal),422,-12.6821,2.5468,,0.1887,0.4118,
HH21,calcite,WA-CB-13,385,-14.1596,3.7098,,0.221,0.2663,
HH21,calcite,WA-CB-13,405,-12.3948,3.2597,,0.1374,0.2617,
HH21,calcite,WA-CB-13,425,-10.6781,3.0131,,0.0969,0.225,
HH21,calcite,WA-CB-13,450,-9.328,2.4464,,0.0832,0.146,
HH21,calcite,WA-CB-13,475,-8.148,2.659,,0.0428,0.0685,
HH21,calcite,MOC,430,-12.7932,3.046,,0.1329,0.4978,
HH21,calcite,MOC,536,-7.0457,1.9763,,0.2855,0.4196,
HH21,calcite,MOC,692,-2.494,2.4889,,1.4066,1.1246,
HH21,calcite,MGB-CC-1 (hydrothermal),385,-14.5924,4.7421,,0.2967,0.5286,
